@id,@lat,@lon,name,leisure,sport
9383986851,53.0261682,-1.4878869,Belper Meadows Tennis Club,sports_centre,tennis
9434227144,51.5897324,-0.2306034,Real Tennis Court,pitch,tennis
10026478191,50.3618806,-4.1615976,Stonehouse Lawn Tennis Club,,tennis
10836743194,50.7156990,-1.8804051,Harry's Tennis Court,pitch,tennis
11084428018,52.0592207,0.3296364,,pitch,tennis
11090092073,52.0250554,0.2406719,,pitch,tennis
11090092074,52.0252145,0.2411640,,pitch,tennis
11090963390,52.0243574,0.2984878,,pitch,tennis
11090963393,52.0183737,0.2833001,,pitch,tennis
11112551093,55.6100655,-3.4087644,Broughton & District Tennis Club,sports_centre,tennis
11126024031,50.5851887,-3.6779194,Bovey Tracey Tennis Club,,tennis
11149553494,52.0313180,0.2825060,,pitch,tennis
11149569296,52.0406314,0.3134997,,pitch,tennis
11167188321,53.3659839,-1.9966198,New Mills Tennis Club,,tennis
11182039128,53.5574751,-2.1984156,Middleton Tennis Club,,tennis
11243105499,52.5586007,-2.3610395,Worfield Tennis Club,,tennis
11368182448,53.1970831,-2.3567655,Holmes Chapel Victoria Tennis Club,,tennis
11406429028,53.3491456,-2.1959415,,,tennis
11433206207,51.5709462,0.0590350,Cranbrook Castle Lawn Tennis Social Club,,tennis
11472885991,51.7781980,-2.7018516,Penallt Tennis Club,,tennis
11591210694,51.2345390,-0.1866827,,pitch,tennis
11591210695,51.2322113,-0.1869100,,pitch,tennis
11843363096,52.5193480,-3.3013424,Newtown Tennis Club,,tennis
11847293617,51.6328156,-2.6792814,Chepstow Tennis Club,,tennis
11952022175,53.2315598,-2.3552788,Goostrey Tennis Club,,tennis
12009439116,50.7591216,-1.5468888,Lymington Tennis Club,,tennis
12211799088,53.3949052,-2.8951328,East Wavertree Lawn Tennis Club,,tennis
12234987662,53.3710249,-3.0378979,Prenton Lawn Tennis Club,,tennis
12246857897,51.5827151,-1.4262711,Wantage Lawn Tennis Club,,tennis
12474114992,53.8099990,-2.7207946,,pitch,tennis
12474114993,53.8100527,-2.7205977,,pitch,tennis
12474114994,53.8101113,-2.7203877,,pitch,tennis
12474114995,53.8102902,-2.7195800,,pitch,tennis
12474114996,53.8100115,-2.7193702,,pitch,tennis
12504744370,52.9093085,-2.4962219,Market Drayton Tennis Club,,tennis
12518381107,50.5148314,-4.8293391,Wadebridge Tennis Club,,tennis
12543648675,50.7115179,-3.5172722,Tunnels Tennis Club,pitch,tennis
12552554317,54.6557258,-3.3503016,Cockermouth Tennis Club,,tennis
12612720662,51.6565919,-3.5054253,Rhondda Lawn Tennis Club,,tennis
12713779122,51.3615595,-0.9626383,RSF Tennis Club,,tennis
12830101630,55.7083656,-3.5793977,,pitch,tennis
13072342540,51.7853147,-0.0038918,St Margaretsbury Tennis Club,,tennis
13073395735,51.4266523,-0.4769713,Spelthorne Community Tennis Centre,,tennis
13076309501,52.2075281,-2.2309556,,pitch,tennis
13112587045,51.5827144,-0.1370785,Hanley Tennis Club,,tennis
3103257,52.1411037,-0.4517420,Riverside Tennis Club,sports_centre,tennis
3342918,51.7537561,-1.2752332,,pitch,tennis
3753255,52.1938381,0.1672903,,pitch,tennis
3794047,51.4669057,-0.2277234,,pitch,tennis
3979077,51.2205910,-0.3342457,,pitch,tennis
3986251,51.7552276,-0.3100363,Salisbury Tennis Courts,pitch,tennis
3993003,52.2117147,0.1195287,,pitch,tennis
3993381,51.7583633,-0.3019116,,pitch,tennis
3997810,52.1977741,0.1132478,,pitch,tennis
4003458,51.9885873,-0.1946136,,pitch,tennis
4009992,52.1521858,-1.0260503,,pitch,tennis
4013355,52.1456911,-1.0237253,,pitch,tennis
4075881,51.4270756,-0.0133193,,pitch,tennis
4076765,51.4199173,-0.0370509,,pitch,tennis
4083397,50.7371072,-1.8873554,West Hants Club,,tennis
4251005,51.5293439,-0.3094491,,pitch,tennis
4254146,51.4574186,-0.3744749,,pitch,tennis
4260005,51.4978208,-0.1160694,,pitch,tennis
4263129,51.5924565,0.0602166,,pitch,tennis
4263419,51.5830095,0.1186250,,pitch,tennis
4269823,51.6244503,0.0741675,,pitch,tennis
4277314,51.8297087,-0.0437485,,pitch,tennis
4303863,51.8018233,-0.0786590,,pitch,tennis
4303864,51.8014316,-0.0783746,,pitch,tennis
4304351,51.7616165,-0.3042437,,pitch,tennis
4315738,51.8219828,-0.1583759,,pitch,tennis
4317039,52.1403391,-0.4786040,,pitch,tennis
4329691,52.5739390,-1.8189488,Sutton United Tennis Club,pitch,tennis
4348310,55.9414201,-3.1862465,Meadows Tennis,sports_centre,tennis
4355583,52.5787066,-1.8416765,Four Oaks Tennis Club,pitch,tennis
4359762,52.2114797,-1.1262817,,pitch,tennis
4365470,52.5906213,-1.8600221,Streetly Lawn Tennis Club,sports_centre,tennis
4365471,51.4617605,-0.2249002,Putney Lawn Tennis Club,sports_centre,tennis
4405457,50.8400048,-0.1729329,,pitch,tennis
4405458,50.8402268,-0.1722555,,pitch,tennis
4412082,55.8750370,-4.2971289,Dowanhill Tennis Club,sports_centre,tennis
